,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank
117,KNN,137,MNAR,0.3,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
118,Mean/Mode,137,MNAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,1.0
119,KNN,137,MNAR,0.5,top-middle-square,downstream_performance_mean,F1_macro,0.674685434404768,0.0,0.674685434404768,34,BNG(tic-tac-toe),25702.0,13664.0,10.0,39366.0,0.0,10.0,,2.0
120,KNN,151,MAR,0.01,nswprice,downstream_performance_mean,F1_macro,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,2.0
121,Mean/Mode,151,MAR,0.01,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0
122,KNN,151,MAR,0.1,nswprice,downstream_performance_mean,F1_macro,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,2.0
123,Mean/Mode,151,MAR,0.1,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0
124,KNN,151,MAR,0.3,nswprice,downstream_performance_mean,F1_macro,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,2.0
125,Mean/Mode,151,MAR,0.3,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0
126,KNN,151,MAR,0.5,nswprice,downstream_performance_mean,F1_macro,0.7471181705232243,0.0,0.7471181705232243,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,2.0
127,Mean/Mode,151,MAR,0.5,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0
128,Mean/Mode,151,MCAR,0.01,nswprice,downstream_performance_mean,F1_macro,0.7467063248179082,0.0,0.7468436008469981,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,2.0
