,Imputation_Method_average,Imputed_average,Data_Constellation,Downstream Performance Rank Average,Imputation_Method_best,Imputed_best,Downstream Performance Rank Best,Performance Difference Best to Average,Performance Difference Best to Average in Percentage
200,Random Forest,0.6563899868247693,MNAR - 0.01 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0,0.0
201,Random Forest,0.6563899868247693,MNAR - 0.1 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0,0.0
202,Random Forest,0.6563899868247693,MNAR - 0.3 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0,0.0
203,Random Forest,0.6563899868247693,MNAR - 0.5 - 40701,3.0,Mean/Mode,0.6563899868247693,1.0,0.0,0.0
204,Random Forest,0.667808602048793,MAR - 0.01 - 40983,3.0,Mean/Mode,0.667808602048793,1.0,0.0,0.0
205,Random Forest,0.667808602048793,MAR - 0.1 - 40983,3.0,Mean/Mode,0.667808602048793,1.0,0.0,0.0
206,Random Forest,0.667808602048793,MAR - 0.3 - 40983,3.0,Mean/Mode,0.667808602048793,1.0,0.0,0.0
207,Random Forest,0.667808602048793,MAR - 0.5 - 40983,3.0,Mean/Mode,0.667808602048793,1.0,0.0,0.0
208,Random Forest,0.7398853400295362,MCAR - 0.01 - 40983,2.0,Mean/Mode,0.7398853400295362,1.0,0.0,0.0
209,Random Forest,0.6634080432363695,MCAR - 0.1 - 40983,1.0,Random Forest,0.6634080432363695,1.0,0.0,0.0
210,Random Forest,0.540885262990279,MCAR - 0.3 - 40983,2.0,KNN,0.5656502444136245,1.0,0.0247649814233456,4.378143856194734
211,Random Forest,0.5195684250821228,MCAR - 0.5 - 40983,2.0,KNN,0.5366694022614787,1.0,0.01710097717935599,3.1865012440235914
212,Random Forest,0.667808602048793,MNAR - 0.01 - 40983,3.0,Mean/Mode,0.667808602048793,1.0,0.0,0.0
213,Random Forest,0.667808602048793,MNAR - 0.1 - 40983,3.0,Mean/Mode,0.667808602048793,1.0,0.0,0.0
214,Random Forest,0.667808602048793,MNAR - 0.3 - 40983,3.0,Mean/Mode,0.667808602048793,1.0,0.0,0.0
215,Random Forest,0.667808602048793,MNAR - 0.5 - 40983,3.0,Mean/Mode,0.667808602048793,1.0,0.0,0.0
216,Random Forest,0.9135518497220624,MAR - 0.01 - 41146,3.0,Mean/Mode,0.9135518497220624,1.0,0.0,0.0
217,Random Forest,0.9135518497220624,MAR - 0.1 - 41146,3.0,Mean/Mode,0.9135518497220624,1.0,0.0,0.0
218,Random Forest,0.9135518497220624,MAR - 0.3 - 41146,3.0,Mean/Mode,0.9135518497220624,1.0,0.0,0.0
219,Random Forest,0.9135518497220624,MAR - 0.5 - 41146,3.0,Mean/Mode,0.9135518497220624,1.0,0.0,0.0
220,Random Forest,0.9166845968108248,MCAR - 0.01 - 41146,3.0,Mean/Mode,0.9166845968108248,1.0,0.0,0.0
