,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank,Data_Constellation
143,Mean/Mode,151,MNAR,0.5,nswprice,downstream_performance_mean,F1_macro,0.7498891937359792,0.0,0.7498203876152564,37,electricity,26075.0,19237.0,9.0,45312.0,7.0,2.0,,1.0,MNAR - 0.5
145,KNN,183,MAR,0.01,Length,downstream_performance_mean,F1_macro,0.1007948204796585,0.0,0.1007948204796585,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MAR - 0.01
147,KNN,183,MAR,0.1,Length,downstream_performance_mean,F1_macro,0.1007948204796585,0.0,0.1007948204796585,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MAR - 0.1
149,KNN,183,MAR,0.3,Length,downstream_performance_mean,F1_macro,0.1007948204796585,0.0,0.1007948204796585,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MAR - 0.3
151,KNN,183,MAR,0.5,Length,downstream_performance_mean,F1_macro,0.1007948204796585,0.0,0.1007948204796585,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MAR - 0.5
153,Mean/Mode,183,MCAR,0.01,Length,downstream_performance_mean,F1_macro,0.110615462321492,0.0,0.1184762263413968,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MCAR - 0.01
155,KNN,183,MCAR,0.1,Length,downstream_performance_mean,F1_macro,0.1257157291615099,0.0,0.1320677420718619,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MCAR - 0.1
157,KNN,183,MCAR,0.3,Length,downstream_performance_mean,F1_macro,0.1141124756117735,0.0,0.0931404599471667,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MCAR - 0.3
159,KNN,183,MCAR,0.5,Length,downstream_performance_mean,F1_macro,0.0896703122528892,0.0,0.0804528355199501,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MCAR - 0.5
161,KNN,183,MNAR,0.01,Length,downstream_performance_mean,F1_macro,0.1007948204796585,0.0,0.1007948204796585,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MNAR - 0.01
163,KNN,183,MNAR,0.1,Length,downstream_performance_mean,F1_macro,0.1007948204796585,0.0,0.1007948204796585,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MNAR - 0.1
165,KNN,183,MNAR,0.3,Length,downstream_performance_mean,F1_macro,0.1007948204796585,0.0,0.1007948204796585,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MNAR - 0.3
167,KNN,183,MNAR,0.5,Length,downstream_performance_mean,F1_macro,0.1007948204796585,0.0,0.1007948204796585,46,abalone,689.0,1.0,9.0,4177.0,7.0,2.0,28.0,1.0,MNAR - 0.5
169,Mean/Mode,184,MAR,0.01,black_king_col,downstream_performance_mean,F1_macro,0.3008690139035422,0.0,0.3009209888634342,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MAR - 0.01
171,Mean/Mode,184,MAR,0.1,black_king_col,downstream_performance_mean,F1_macro,0.3008690139035422,0.0,0.3009209888634342,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MAR - 0.1
173,Mean/Mode,184,MAR,0.3,black_king_col,downstream_performance_mean,F1_macro,0.3008690139035422,0.0,0.3009209888634342,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MAR - 0.3
175,Mean/Mode,184,MAR,0.5,black_king_col,downstream_performance_mean,F1_macro,0.3008690139035422,0.0,0.3009209888634342,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MAR - 0.5
177,Mean/Mode,184,MCAR,0.01,black_king_col,downstream_performance_mean,F1_macro,0.2967828755756219,0.0,0.2974898253237579,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MCAR - 0.01
179,Mean/Mode,184,MCAR,0.1,black_king_col,downstream_performance_mean,F1_macro,0.2978715786875689,0.0,0.2984762738549066,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MCAR - 0.1
181,KNN,184,MCAR,0.3,black_king_col,downstream_performance_mean,F1_macro,0.2776712845544286,0.0,0.2828978027387039,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MCAR - 0.3
183,Mean/Mode,184,MCAR,0.5,black_king_col,downstream_performance_mean,F1_macro,0.2511182986834699,0.0,0.2487615195427816,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MCAR - 0.5
185,Mean/Mode,184,MNAR,0.01,black_king_col,downstream_performance_mean,F1_macro,0.3008690139035422,0.0,0.3009209888634342,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MNAR - 0.01
187,Mean/Mode,184,MNAR,0.1,black_king_col,downstream_performance_mean,F1_macro,0.3008690139035422,0.0,0.3009209888634342,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MNAR - 0.1
189,Mean/Mode,184,MNAR,0.3,black_king_col,downstream_performance_mean,F1_macro,0.3008690139035422,0.0,0.3009209888634342,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MNAR - 0.3
191,Mean/Mode,184,MNAR,0.5,black_king_col,downstream_performance_mean,F1_macro,0.3008690139035422,0.0,0.3009209888634342,57,kropt,4553.0,27.0,7.0,28056.0,0.0,7.0,18.0,1.0,MNAR - 0.5
193,Mean/Mode,189,MAR,0.01,theta8,downstream_performance_mean,RMSE,0.2050368196189644,0.0,0.2050482538464667,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MAR - 0.01
195,Mean/Mode,189,MAR,0.1,theta8,downstream_performance_mean,RMSE,0.2050368196189644,0.0,0.2050482538464667,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MAR - 0.1
197,Mean/Mode,189,MAR,0.3,theta8,downstream_performance_mean,RMSE,0.2050368196189644,0.0,0.2050482538464667,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MAR - 0.3
199,Mean/Mode,189,MAR,0.5,theta8,downstream_performance_mean,RMSE,0.2050368196189644,0.0,0.2050482538464667,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MAR - 0.5
201,Mean/Mode,189,MCAR,0.01,theta8,downstream_performance_mean,RMSE,0.2051569004101837,0.0,0.2051301553804732,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MCAR - 0.01
203,Mean/Mode,189,MCAR,0.1,theta8,downstream_performance_mean,RMSE,0.205758584386796,0.0,0.205875481734783,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MCAR - 0.1
205,KNN,189,MCAR,0.3,theta8,downstream_performance_mean,RMSE,0.2067955002519385,0.0,0.2069779076675103,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MCAR - 0.3
207,KNN,189,MCAR,0.5,theta8,downstream_performance_mean,RMSE,0.2089646899913023,0.0,0.2089719048815026,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MCAR - 0.5
209,Mean/Mode,189,MNAR,0.01,theta8,downstream_performance_mean,RMSE,0.2050368196189644,0.0,0.2050482538464667,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MNAR - 0.01
211,Mean/Mode,189,MNAR,0.1,theta8,downstream_performance_mean,RMSE,0.2050368196189644,0.0,0.2050482538464667,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MNAR - 0.1
213,Mean/Mode,189,MNAR,0.3,theta8,downstream_performance_mean,RMSE,0.2050368196189644,0.0,0.2050482538464667,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MNAR - 0.3
215,Mean/Mode,189,MNAR,0.5,theta8,downstream_performance_mean,RMSE,0.2050368196189644,0.0,0.2050482538464667,67,kin8nm,,,9.0,8192.0,9.0,0.0,,1.0,MNAR - 0.5
217,Mean/Mode,197,MAR,0.01,pgin,downstream_performance_mean,RMSE,9.19342636399486,0.0,9.193412356922884,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MAR - 0.01
219,Mean/Mode,197,MAR,0.1,pgin,downstream_performance_mean,RMSE,9.19342636399486,0.0,9.193412356922884,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MAR - 0.1
221,Mean/Mode,197,MAR,0.3,pgin,downstream_performance_mean,RMSE,9.19342636399486,0.0,9.193412356922884,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MAR - 0.3
223,Mean/Mode,197,MAR,0.5,pgin,downstream_performance_mean,RMSE,9.19342636399486,0.0,9.193412356922884,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MAR - 0.5
225,Mean/Mode,197,MCAR,0.01,pgin,downstream_performance_mean,RMSE,9.194319205385028,0.0,9.19431540847576,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MCAR - 0.01
227,Mean/Mode,197,MCAR,0.1,pgin,downstream_performance_mean,RMSE,9.290931956259218,0.0,9.2296036219353,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MCAR - 0.1
229,Mean/Mode,197,MCAR,0.3,pgin,downstream_performance_mean,RMSE,9.210924025297189,0.0,9.257576401005132,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MCAR - 0.3
231,KNN,197,MCAR,0.5,pgin,downstream_performance_mean,RMSE,9.44691081321862,0.0,9.425571577531512,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MCAR - 0.5
233,Mean/Mode,197,MNAR,0.01,pgin,downstream_performance_mean,RMSE,9.19342636399486,0.0,9.193412356922884,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MNAR - 0.01
235,Mean/Mode,197,MNAR,0.1,pgin,downstream_performance_mean,RMSE,9.19342636399486,0.0,9.193412356922884,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MNAR - 0.1
237,Mean/Mode,197,MNAR,0.3,pgin,downstream_performance_mean,RMSE,9.19342636399486,0.0,9.193412356922884,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MNAR - 0.3
239,Mean/Mode,197,MNAR,0.5,pgin,downstream_performance_mean,RMSE,9.19342636399486,0.0,9.193412356922884,79,cpu_act,,,22.0,8192.0,22.0,0.0,,1.0,MNAR - 0.5
